Country,Continent,Total Case,Total Death,Total Test,Total Vaccination,People Vaccinated,People Fully Vaccinated,Population,Median Age,Life Expectancy,Aged Older 65,Aged Older 70,Cardiovasc Death Rate,Male Smokers,Female Smokers,Diabetes Prevalence,Hospital Beds Per Thousand,Human Development Index,Extreme Poverty,Population Density,Gdp Per Capita
Papua New Guinea,Oceania,46864,679,,,382020,321192,10142625,22.6,64.5,3.8,2.1,561.5,48.8,23.5,17.7,,0.6,,18.2,3823.2
South America,,68667982,1356755,,957204919,375359061,336867662,436816679,,,,,,,,,,,,,
United States,North America,103436829,1129589,912769124,676683162,270227181,230637348,338289856,38.3,78.9,15.4,9.7,151.1,24.6,19.1,10.8,2.8,0.9,1.2,35.6,54225.4
Jersey,Europe,66391,161,,,84365,81882,110796,,,,,,,,,,,,,
Ecuador,South America,1074527,36019,2855228,36284797,15333873,14240587,18001002,28.1,77.0,7.1,4.5,140.4,12.3,2.0,5.6,1.5,0.8,3.6,66.9,10581.9
Romania,Europe,3405206,68193,,16801198,8187839,8114769,19659270,43.0,76.1,17.9,11.7,370.9,37.1,22.9,9.7,6.9,0.8,5.7,85.1,23313.2
Falkland Islands,South America,1923,0,,,2632,1775,3801,,81.4,,,,,,,,,,,
Iran,Asia,7611931,146267,18074432,20588423,65176523,58562317,88550568,32.4,76.7,5.4,3.2,270.3,21.1,0.8,9.6,1.5,0.8,0.2,49.8,19082.6
Oman,Asia,399449,4628,,65081,3257365,3048826,4576300,30.7,77.9,2.4,1.5,266.3,15.6,0.5,12.6,1.6,0.8,,15.0,37960.7
Belgium,Europe,4799762,34350,34315605,29632404,9266649,9168969,11655923,41.8,81.6,18.6,12.8,114.9,31.4,25.1,4.3,5.6,0.9,0.2,375.6,42658.6
Russia,Europe,22942458,399226,156015815,152716447,88811982,79702396,144713312,39.6,72.6,14.2,9.4,431.3,58.3,23.4,6.2,8.1,0.8,0.1,8.8,24766.0
Turkey,Asia,17004677,101419,163164533,149899771,57941051,53176961,85341248,31.6,77.7,8.2,5.1,171.3,41.1,14.1,12.1,2.8,0.8,0.2,104.9,25129.3
